College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State,Rank,Lat,Long
University of California,20-Apr,328380213,30,"Biogas, Biomass, Solar, Wind",CA,1,37.871853,-122.258423
Arizona State University,20-Apr,292135945,87,"Solar, Wind",AZ,2,33.424564,-111.928001
Columbia University,20-Apr,270897887,100,Wind,NY,3,40.80819,-73.958305
"University at Buffalo, the State University of New York",20-Apr,227985303,100,"Biomass, Solar",NY,4,43.0004,-78.7879
University of Pennsylvania,20-Apr,200000000,71,Wind,PA,5,39.952892,-75.19277
Stanford University,20-Apr,190930395,67,Various,CA,6,37.428993,-122.16986
Georgetown University,20-Apr,159149526,130,Wind,DC,7,38.90832,-77.0713
"University of Tennessee, Knoxville",20-Apr,158044000,67,"Solar, Wind",TN,8,35.950867,-83.930984
University of Utah,20-Apr,148673985,49,"Geothermal, Solar",UT,9,40.277779,-111.71389
University of Maryland,20-Apr,146567825,53,Various,MD,10,38.980297,-76.93312
Carnegie Mellon University,20-Apr,134008880,105,"Solar, Wind",PA,11,40.444603,-79.941986
University of Oklahoma,20-Apr,132336000,70,Wind,OK,12,35.205894,-97.445717
Saint Louis University,20-Apr,125000000,105,Wind,MO,13,38.63546,-90.233826
University of Missouri,20-Apr,104001209,42,"Biomass, Solar, Wind",MO,14,38.951561,-92.328636
Northwestern University,20-Apr,100370800,39,"Solar, Wind",IL,15,42.05499,-87.6772
The Ohio State University,20-Apr,99742483,17,Wind,OH,16, 39.999387,-83.02271
Drexel University,20-Apr,87766000,103,"Solar, Wind",PA,17,39.95411,-75.186905
Oklahoma State University,20-Apr,82474642,60,Wind,OK,18,36.121414,-97.06839
George Washington University,20-Apr,73464846,50,Solar,DC,19,38.89845,-77.04943
University of Virginia,20-Apr,70936294,21,Solar,VA,20,38.031788,-78.50434
Rochester Institute of Technology,20-Apr,70711082,92,"Solar, Wind",NY,21,43.16103,-77.610924
Ohio University,20-Apr,60689366,50,"Solar, Wind",OH,22,39.32434355, -82.1014252739
University of Vermont,20-Apr,59759945,101,"Biogas, Solar, Wind",VT,23,44.469288,-73.20026
American University,20-Apr,59476806,107,Various,DC,24,38.93695,-77.08947
University of Minnesota,20-Apr,57800000,16,"Solar, Wind",MN,25,44.97587,-93.23449
Southern Illinois University Edwardsville,20-Apr,56109545,100,Wind,IL,26,38.7933,-89.9961
City Colleges of Chicago,20-Apr,54429677,100,Wind,IL,27,41.87813,-87.63418
University of New Hampshire,20-Apr,46469000,65,Wind,NH,28,43.13861,-70.937706
Temple University,20-Apr,44000000,21,Wind,PA,29,39.980225,-75.15758
Syracuse University,20-Apr,40250000,35,Wind,NY,30,43.03762,-76.13297
University of California,20-Jan,273347222,25,Various,CA,1,37.871853,-122.258423
Columbia University,20-Jan,270897887,100,Wind,NY,2,40.80819,-73.958305
"University at Buffalo, the State University of New York",20-Jan,224325000,100,"Biomass, Solar",NY,3,43.0004,-78.7879
University of Pennsylvania,20-Jan,200000000,71,Wind,PA,4,39.952892,-75.19277
Georgetown University,20-Jan,159149526,130,Wind,DC,5,38.90832,-77.0713
Stanford University,20-Jan,159021886,56,Solar,CA,6,37.428993,-122.16986
"University of Tennessee, Knoxville",20-Jan,158044000,67,"Solar, Wind",TN,7,35.950867,-83.930984
University of Utah,20-Jan,148673985,49,"Geothermal, Solar",UT,8,40.277779,-111.71389
University of Maryland,20-Jan,146567825,53,Various,MD,9,38.980297,-76.93312
University of Oklahoma,20-Jan,135692000,70,Wind,OK,10,35.205894,-97.445717
Carnegie Mellon University,20-Jan,132396967,100,"Solar, Wind",PA,11,40.444603,-79.941986
Saint Louis University,20-Jan,125000000,105,Wind,MO,12,38.63546,-90.233826
University of North Texas,20-Jan,107250000,100,"Solar, Wind",TX,13,33.210663,-97.14733
Arizona State University,20-Jan,105000000,30,"Solar, Wind",AZ,14,33.424564,-111.928001
University of Missouri,20-Jan,104001209,42,"Biogas, Solar, Wind",MO,15,38.951561,-92.328636
Northwestern University,20-Jan,100370800,39,"Solar, Wind",IL,16,42.05499,-87.6772
Oklahoma State University,20-Jan,93827563,67,Wind,OK,17,36.121414,-97.06839
Drexel University,20-Jan,87766000,104,"Solar, Wind",PA,18,39.95411,-75.186905
The Ohio State University,20-Jan,85505575,14,Wind,OH,19, 39.999387,-83.02271
George Washington University,20-Jan,78393980,53,Solar,DC,20,38.89845,-77.04943
University of Virginia,20-Jan,70936294,21,Solar,VA,21,38.031788,-78.50434
University of Wisconsin,20-Jan,64424214,14,"Biogas, Solar, Wind",WI,22,43.074787,-89.403564
Ohio University,20-Jan,60689366,50,"Solar, Wind",OH,23,39.32434355, -82.1014252739
American University,20-Jan,59476806,107,Various,DC,24,38.93695,-77.08947
University of Minnesota,20-Jan,57800000,16,"Solar, Wind",MN,25,44.97587,-93.23449
University of Vermont,20-Jan,57716250,96,"Biogas, Solar, Wind",VT,26,44.469288,-73.20026
Southern Illinois University Edwardsville,20-Jan,56109545,100,Wind,IL,27,38.7933,-89.9961
University of New Hampshire,20-Jan,46469000,65,Wind,NH,28,43.13861,-70.937706
Temple University,20-Jan,44000000,21,Wind,PA,29,39.980225,-75.15758
Syracuse University,20-Jan,40250000,35,Wind,NY,30,43.03762,-76.13297
University of California,19-Jul,273347222,25,Various,CA,1,37.871853,-122.258423
"University at Buffalo, the State University of New York",19-Jul,224325000,100,"Biomass, Solar",NY,2,43.0004,-78.7879
University of Pennsylvania,19-Jul,200000000,71,Wind,PA,3,39.952892,-75.19277
Stanford University,19-Jul,159626907,57,Solar,CA,4,37.428993,-122.16986
Georgetown University,19-Jul,159499000,133,Wind,DC,5,38.90832,-77.0713
"University of Tennessee, Knoxville",19-Jul,158044000,67,"Solar, Wind",TN,6,35.950867,-83.930984
University of Maryland,19-Jul,146567825,53,Various,MD,7,38.980297,-76.93312
University of Oklahoma,19-Jul,135692000,70,Wind,OK,8,35.205894,-97.445717
Carnegie Mellon University,19-Jul,132396967,100,"Solar, Wind",PA,9,40.444603,-79.941986
University of North Texas,19-Jul,107250000,100,"Solar, Wind",TX,10,33.210663,-97.14733
Arizona State University,19-Jul,105000000,30,"Solar, Wind",AZ,11,33.424564,-111.928001
University of Missouri,19-Jul,104001209,42,"Biomass, Solar, Wind",MO,12,38.951561,-92.328636
Northwestern University,19-Jul,100370800,39,"Solar, Wind",IL,13,42.05499,-87.6772
Oklahoma State University,19-Jul,93827563,67,Wind,OK,14,36.121414,-97.06839
Drexel University,19-Jul,87766000,104,"Solar, Wind",PA,15,39.95411,-75.186905
The Ohio State University,19-Jul,85505575,14,Wind,OH,16, 39.999387,-83.02271
George Washington University,19-Jul,78393980,53,Solar,DC,17,38.89845,-77.04943
University of Virginia,19-Jul,70936294,21,Solar,VA,18,38.031788,-78.50434
University of Wisconsin,19-Jul,64424214,14,"Biogas, Solar, Wind",WI,19,43.074787,-89.403564
Ohio University,19-Jul,60539865,50,Solar,OH,20,39.32434355, -82.1014252739
American University,19-Jul,59476806,107,Various,DC,21,38.93695,-77.08947
University of Minnesota,19-Jul,57800000,16,"Solar, Wind",MN,22,44.97587,-93.23449
University of Vermont,19-Jul,57716250,96,"Biogas, Solar, Wind",VT,23,44.469288,-73.20026
Southern Illinois University Edwardsville,19-Jul,56109545,100,Wind,IL,24,38.7933,-89.9961
University of New Hampshire,19-Jul,56109545,65,Wind,NH,25,43.13861,-70.937706
Temple University,19-Jul,44000000,21,Wind,PA,26,39.980225,-75.15758
Syracuse University,19-Jul,40250000,35,Wind,NY,27,43.03762,-76.13297
The Catholic University of America,19-Jul,40250000,100,Wind,DC,28,38.93698,-76.998055
University of Pittsburgh,19-Jul,32412337,15,Various,PA,29,40.4446,-79.9533
Colgate University,19-Jul,31808072,100,Various,NY,30,42.818226,-75.53896
University of California,19-Apr,273347222,25,Various,CA,1,37.871853,-122.258423
"University at Buffalo, the State University of New York",19-Apr,224325000,100,"Biomass, Solar",NY,2,43.0004,-78.7879
University of Pennsylvania,19-Apr,200000000,71,Wind,PA,3,39.952892,-75.19277
Stanford University,19-Apr,159626907,57,Solar,CA,4,37.428993,-122.16986
Georgetown University,19-Apr,159499000,133,Wind,DC,5,38.90832,-77.0713
"University of Tennessee, Knoxville",19-Apr,158044000,67,"Solar, Wind",TN,6,35.950867,-83.930984
University of Maryland,19-Apr,146567825,53,Various,MD,7,38.980297,-76.93312
University of Oklahoma,19-Apr,135692000,70,Wind,OK,8,35.205894,-97.445717
Carnegie Mellon University,19-Apr,132396967,100,"Solar, Wind",PA,9,40.444603,-79.941986
University of North Texas,19-Apr,107250000,100,"Solar, Wind",TX,10,33.210663,-97.14733
Arizona State University,19-Apr,105000000,30,"Solar, Wind",AZ,11,33.424564,-111.928001
University of Missouri,19-Apr,104001209,42,"Biomass, Solar, Wind",MO,12,38.951561,-92.328636
Northwestern University,19-Apr,100370800,39,"Solar, Wind",IL,13,42.05499,-87.6772
Oklahoma State University,19-Apr,93827563,67,Wind,OK,14,36.121414,-97.06839
Drexel University,19-Apr,87766000,104,"Solar, Wind",PA,15,39.95411,-75.186905
The Ohio State University,19-Apr,85505575,14,Wind,OH,16, 39.999387,-83.02271
George Washington University,19-Apr,78393980,53,Solar,DC,17,38.89845,-77.04943
University of Virginia,19-Apr,70936294,21,Solar,VA,18,38.031788,-78.50434
University of Wisconsin,19-Apr,64424214,14,"Biogas, Solar, Wind",WI,19,43.074787,-89.403564
The City University of New York,19-Apr,64000000,14,Wind,NY,20,40.73,-73.997
Ohio University,19-Apr,60539865,50,"Solar, Wind",OH,21,39.32434355, -82.1014252739
American University,19-Apr,59476806,107,Various,DC,22,38.93695,-77.08947
University of Minnesota,19-Apr,57800000,16,"Solar, Wind",MN,23,44.97587,-93.23449
University of Vermont,19-Apr,57716250,96,"Biogas, Solar, Wind",VT,24,44.469288,-73.20026
Southern Illinois University Edwardsville,19-Apr,56109545,100,Wind,IL,25,38.7933,-89.9961
University of New Hampshire,19-Apr,46469000,65,Wind,NH,26,43.13861,-70.937706
Temple University,19-Apr,44000000,21,Wind,PA,27,39.980225,-75.15758
Syracuse University,19-Apr,40250000,35,Wind,NY,28,43.03762,-76.13297
The Catholic University of America,19-Apr,37881775,100,Wind,DC,29,38.93698,-76.998055
University of Pittsburgh,19-Apr,32412337,15,Various,PA,30,40.4446,-79.9533
"University of Tennessee, Knoxville",19-Feb,250070000,94,"Solar, Wind",TN,1,35.950867,-83.930984
"University at Buffalo, the State University of New York",19-Feb,219284258,100,"Biomass, Solar",NY,2,43.0004,-78.7879
University of Pennsylvania,19-Feb,200000000,71,Wind,PA,3,39.952892,-75.19277
University of California,19-Feb,182762683,15,"Biogas, Solar, Wind",CA,4,37.871853,-122.258423
Stanford University,19-Feb,159626907,57,Solar,CA,5,37.428993,-122.16986
Georgetown University,19-Feb,159499000,133,Wind,DC,6,38.90832,-77.0713
Carnegie Mellon University,19-Feb,126281076,100,"Solar, WInd",PA,7,40.444603,-79.941986
University of Oklahoma,19-Feb,124573400,67,Wind,OK,8,35.205894,-97.445717
University of North Texas,19-Feb,107250000,100,"Solar, Wind",TX,9,33.210663,-97.14733
The Ohio State University,19-Feb,105651613,18,Wind,OH,10, 39.999387,-83.02271
University of Missouri,19-Feb,104001209,42,"Biomass, Solar, Wind",MO,11,38.951561,-92.328636
Northwestern University,19-Feb,100370800,39,"Solar, WInd",IL,12,42.05499,-87.6772
Oklahoma State University,19-Feb,97484877,72,Wind,OK,13,36.121414,-97.06839
University of Maryland,19-Feb,96927825,34,"Biogas, Small Hydro, Solar, Wind",MD,14,38.980297,-76.93312
Drexel University,19-Feb,87766000,104,"Solar, wind",PA,15,39.95411,-75.186905
George Washington University,19-Feb,78393980,53,solar,DC,16,38.89845,-77.04943
Arizona State University,19-Feb,73900000,22,"Biogas, Biomass, Solar",AZ,17,33.424564,-111.928001
University of Wisconsin,19-Feb,72168457,16,"Biogas, Solar, Wind",WI,18,43.074787,-89.403564
University of Virginia,19-Feb,70936294,21,Solar,VA,19,38.031788,-78.50434
The City University of New York,19-Feb,64000000,14,Wind,NY,20,40.73,-73.997
Ohio University,19-Feb,60539865,50,"Solar, Wind",OH,21,39.32434355, -82.1014252739
American University,19-Feb,59476806,107,Various,DC,22,38.93695,-77.08947
Southern Illinois University Edwardsville,19-Feb,57881742,100,Wind,IL,23,38.7933,-89.9961
University of Minnesota,19-Feb,57800000,16,"Solar, Wind",MN,24,44.97587,-93.23449
University of Vermont,19-Feb,57716250,96,"Biogas, Solar, Wind",VT,25,44.469288,-73.20026
Temple University,19-Feb,55102500,25,Wind,PA,26,39.980225,-75.15758
University of New Hampshire,19-Feb,46469000,65,Wind,NH,27,43.13861,-70.937706
Syracuse University,19-Feb,40250000,35,Wind,NY,28,43.03762,-76.13297
The Catholic University of America,19-Feb,37881775,100,Wind,DC,29,38.93698,-76.998055
University of Pittsburgh,19-Feb,32412337,15,Various,PA,30,40.4446,-79.9533
"University of Tennessee, Knoxville",18-Oct,250070000,94,"Solar, Wind",TN,1,35.950867,-83.930984
"University at Buffalo, The State University of New York",18-Oct,219284258,100,"Biomass, Solar",NY,2,43.0004,-78.7879
University of Pennsylvania,18-Oct,200000000,71,Wind,PA,3,39.952892,-75.19277
University of California,18-Oct,182762683,15,"Biogas, Solar, Wind",CA,4,37.871853,-122.258423
Georgetown University,18-Oct,159499000,133,Wind,DC,5,38.90832,-77.0713
Stanford University,18-Oct,157734220,56,Solar,CA,6,37.428993,-122.16986
Carnegie-Mellon University,18-Oct,126281076,100,"Solar, Wind",PA,7,40.444603,-79.941986
University of Oklahoma,18-Oct,124573400,67,Wind,OK,8,35.205894,-97.445717
University of North Texas,18-Oct,107250000,100,"Solar, Wind",TX,9,33.210663,-97.14733
The Ohio State University,18-Oct,105651613,18,Wind,OH,10, 39.999387,-83.02271
University of Missouri,18-Oct,104001209,42,"Biomass, Solar, Wind",MO,11,38.951561,-92.328636
Northwestern University,18-Oct,100370800,39,"Solar, Wind",IL,12,42.05499,-87.6772
Oklahoma State University,18-Oct,97484877,72,Wind,OK,13,36.121414,-97.06839
University of Maryland,18-Oct,96927825,34,"Biogas, Small Hydro, Solar, Wind",MD,14,38.980297,-76.93312
Drexel University,18-Oct,87766000,104,"Solar, Wind",PA,15,39.95411,-75.186905
George Washington University,18-Oct,79501035,65,Solar,DC,16,38.89845,-77.04943
University of South Florida,18-Oct,78654500,40,Wind,FL,17,28.05457,-82.412094
Arizona State University,18-Oct,73900000,22,"Biogas, Biomass, Solar",AZ,18,33.424564,-111.928001
University of Wisconsin,18-Oct,72168457,16,"Biogas, Solar, Wind",WI,19,43.074787,-89.403564
The City University of New York,18-Oct,64000000,14,Wind,NY,20,40.73,-73.997
Ohio University,18-Oct,60539865,50,"Solar, Wind",OH,21,39.32434355, -82.1014252739
